product,batch,reg,reg_lookup,server_lookup,key,value
vt0,dfve,us-east-1,us,nondb,maintwindow-vantage-vt0,rebootgroup2-nondb
vt0,dfve,us-west-2,us,db,maintwindow-vantage-vt0,rebootgroup1-dbonly
vt0,dfve,us-west-2,us,nondb,maintwindow-vantage-vt0,rebootgroup2-nondb
vt1,dfve,us-east-1,us,nondb,maintwindow-vantage-vt1,rebootgroup2-nondb
vt2,dfve,us-east-1,us,db,maintwindow-vantage-vt2,rebootgroup1-dbonly
vt2,dfve,us-east-1,us,nondb,maintwindow-vantage-vt2,rebootgroup2-nondb
vt3,dfve,us-east-1,us,db,maintwindow-vantage-vt3,rebootgroup1-dbonly
vt3,dfve,us-east-1,us,nondb,maintwindow-vantage-vt3,rebootgroup2-nondb
vt4,dfve,us-east-1,us,db,maintwindow-vantage-vt4,rebootgroup1-dbonly
vt4,dfve,us-east-1,us,nondb,maintwindow-vantage-vt4,rebootgroup2-nondb
vt5,dfve,us-east-1,us,db,maintwindow-vantage-vt5,rebootgroup1-dbonly
vt5,dfve,us-east-1,us,nondb,maintwindow-vantage-vt5,rebootgroup2-nondb
vt6,dfve,us-east-1,us,db,maintwindow-vantage-vt6,rebootgroup1-dbonly
vt6,dfve,us-east-1,us,nondb,maintwindow-vantage-vt6,rebootgroup2-nondb
vt6,dfve,eu-west-1,eu,db,maintwindow-vantage-vt6,rebootgroup1-dbonly
vt6,dfve,eu-west-1,eu,nondb,maintwindow-vantage-vt6,rebootgroup2-nondb
vt7,dfve,us-east-1,us,db,maintwindow-vantage-vt7,rebootgroup1-dbonly
vt7,dfve,us-east-1,us,nondb,maintwindow-vantage-vt7,rebootgroup2-nondb
vt7,dfve,ap-southeast-2,ap,db,maintwindow-vantage-vt7,rebootgroup1-dbonly
vt7,dfve,ap-southeast-2,eu,nondb,maintwindow-vantage-vt7,rebootgroup2-nondb
vt15,dfve,us-east-1,us,db,maintwindow-vantage-vt15,rebootgroup1-dbonly
vt15,dfve,us-east-1,us,nondb,maintwindow-vantage-vt15,rebootgroup2-nondb
vt15,dfve,us-west-2,us,db,maintwindow-vantage-vt15,rebootgroup1-dbonly
vt15,dfve,us-west-2,us,nondb,maintwindow-vantage-vt15,rebootgroup2-nondb
vt16,dfve,eu-west-1,eu,db,maintwindow-vantage-vt16,rebootgroup1-dbonly
